,Day_0,Day_1,Day_3,Var,skin
Savatiano-Malagouzia_skins,135000,122500,2275000,1,1
Savatiano,145000,6250000,12500000,1,0
Mosxofilero-Malagouzia_skins,112500,97500,2725000,2,1
Mosxofilero,25000,NA,NA,2,0
Chardonnay-Malagouzia_skins,87500,77500,3125000,3,1
Chardonnay,91250,6750000,28250000,3,0
Malagouzia-Malagouzia_skins,102500,115000,725000,4,1
Malagouzia,142500,525000,16000000,4,0
Xinomauro1-CabarnetG1_skins,82500,217500,7500000,5,1
Xinomauro1,110000,2325000,25500000,5,0
Xinomauro2-MerlotG2,92500,175000,3400000,6,1
Xinomauro2,135000,7750000,32250000,6,0
Dornfelder1-CabarnetG1_skins,70000,2525000,15500000,7,1
Dornfelder1,92500,1475000,17500000,7,0
Dornfelder2-MerlotG2,57500,127500,1050000,8,1
Dornfelder2,57500,5000000,19250000,8,0
MerlotF1_1-merlotG1_skins,110000,70000,80000,9,1
MerlotF1_1,140000,825000,8000000,9,0
Merlot_F1_2-CabarnetG2,25250,13250,110000,10,1
Merlot_F1_2,102500,275000,445000,10,0
MerlotG1-merlotG1_skins,85000,31000,NA,11,1
MerlotG1,85000,7750,NA,11,0
MerlotG2-merlotG2_skins,105000,NA,NA,12,1
MerlotG2,37750,NA,NA,12,0
CabarnetG1-CabarnetG1_skins,67500,2650,NA,13,1
CabarnetG1,52500,1625,NA,13,0
CabarnetG2-CabarnetG2,19500,9250,NA,14,1
CabarnetG2,18750,6500,NA,14,0
MerlotF_T-merlotG1_skins,100000,82500,NA,15,1
MerlotF_T,97500,82500,NA,15,0
