,Day_0,Day_1,Var,skin
Savatiano-Malagouzia_skins,1.05,0.035,1,1
Savatiano,0.915,0.035,1,0
Mosxofilero-Malagouzia_skins,2.415,1.22,2,1
Mosxofilero,2.645,2.74,2,0
Chardonnay-Malagouzia_skins,6.46,5.62,3,1
Chardonnay,7.01,1.36,3,0
Malagouzia-Malagouzia_skins,1.66,0.76,4,1
Malagouzia,1.58,0.085,4,0
Xinomauro1-CabarnetG1_skins,2.315,0.68,5,1
Xinomauro1,2.6,0.045,5,0
Xinomauro2-MerlotG2,2.38,0.75,6,1
Xinomauro2,2.6,0.04,6,0
Dornfelder1-CabarnetG1_skins,3.35,0.295,7,1
Dornfelder1,4.1,0.1,7,0
Dornfelder2-MerlotG2,3.285,1.95,8,1
Dornfelder2,3.62,0.03,8,0
MerlotF1_1-merlotG1_skins,1.71,1.28,9,1
MerlotF1_1,1.53,0.01,9,0
Merlot_F1_2-CabarnetG2,1.24,1.2,10,1
Merlot_F1_2,1.22,0.11,10,0
MerlotG1-merlotG1_skins,1.685,1.9,11,1
MerlotG1,1.81,1.76,11,0
MerlotG2-merlotG2_skins,0.67,0.67,12,1
MerlotG2,0.67,0.68,12,0
CabarnetG1-CabarnetG1_skins,2.25,2.07,13,1
CabarnetG1,2.28,2.1,13,0
CabarnetG2-CabarnetG2,1.92,1.97,14,1
CabarnetG2,1.9,1.95,14,0
MerlotF_T-merlotG1_skins,2.3,1.945,15,1
MerlotF_T,2.31,2.03,15,0
